date,product,category,quantity,price,region
2023-01-05,Running Sneakers,Footwear,120,89.99,North
2023-01-05,Denim Jacket,Outerwear,85,129.99,East
2023-01-06,Yoga Pants,Activewear,200,59.99,West
2023-01-07,Wool Sweater,Knitwear,95,79.99,North
2023-01-10,Leather Boots,Footwear,60,199.99,South
2023-01-12,Graphic Tee,Casual,310,24.99,West
2023-01-15,Trench Coat,Outerwear,45,249.99,East
2023-01-18,Floral Dress,Dresses,130,69.99,South
2023-01-20,Cargo Pants,Casual,175,54.99,North
2023-01-22,Sports Bra,Activewear,220,39.99,West
2023-02-01,Running Sneakers,Footwear,135,89.99,North
2023-02-03,Puffer Jacket,Outerwear,110,189.99,East
2023-02-05,Yoga Pants,Activewear,245,59.99,West
2023-02-07,Cashmere Sweater,Knitwear,55,149.99,North
2023-02-10,Ankle Boots,Footwear,80,159.99,South
2023-02-12,Graphic Tee,Casual,295,24.99,West
2023-02-14,Midi Dress,Dresses,160,89.99,South
2023-02-16,Slim Jeans,Denim,210,79.99,East
2023-02-20,Windbreaker,Outerwear,70,119.99,North
2023-02-22,Leggings,Activewear,280,44.99,West
2023-03-01,Running Sneakers,Footwear,155,89.99,North
2023-03-03,Bomber Jacket,Outerwear,90,149.99,East
2023-03-05,Yoga Pants,Activewear,310,59.99,West
2023-03-08,Cotton Sweater,Knitwear,65,69.99,North
2023-03-10,Sandals,Footwear,140,49.99,South
2023-03-12,Graphic Tee,Casual,340,24.99,West
2023-03-15,Wrap Dress,Dresses,185,79.99,South
2023-03-18,Wide Leg Jeans,Denim,195,89.99,East
2023-03-22,Rain Jacket,Outerwear,55,99.99,North
2023-03-25,Crop Top,Casual,260,29.99,West
2023-04-01,Running Sneakers,Footwear,180,89.99,North
2023-04-03,Light Blazer,Outerwear,75,179.99,East
2023-04-05,Yoga Pants,Activewear,335,59.99,West
2023-04-08,Linen Shirt,Casual,220,44.99,South
2023-04-10,Strappy Sandals,Footwear,195,59.99,South
